,output product,import requirements,value
4807,Architectural and engineering services; technical testing and analysis services,Manufacture Of Furniture,6
4808,Scientific research and development services,Manufacture Of Furniture,0
4809,Advertising and market research services,Manufacture Of Furniture,34
4810,"Other professional, scientific and technical services",Manufacture Of Furniture,1
4811,Veterinary services,Manufacture Of Furniture,0
4812,Rental and leasing services,Manufacture Of Furniture,38
4813,Employment services,Manufacture Of Furniture,6
4814,"Travel agency, tour operator and other reservation services and related services",Manufacture Of Furniture,0
4815,Security and investigation services,Manufacture Of Furniture,0
4816,Services to buildings and landscape,Manufacture Of Furniture,0
4817,"Office administrative, office support and other business support services",Manufacture Of Furniture,4
4818,Public administration and defence services; compulsory social security services,Manufacture Of Furniture,0
4819,Education services,Manufacture Of Furniture,0
4820,Human health services,Manufacture Of Furniture,0
4821,Residential Care  & Social Work Activities,Manufacture Of Furniture,0
4822,"Creative, arts and entertainment services",Manufacture Of Furniture,0
4823,"Libraries, archives, museums and other cultural services",Manufacture Of Furniture,0
4824,Gambling and betting services,Manufacture Of Furniture,0
4825,Sports services and amusement and recreation services,Manufacture Of Furniture,0
4826,Services furnished by membership organisations,Manufacture Of Furniture,0
4827,Repair services of computers and personal and household goods,Manufacture Of Furniture,0
4828,Other personal services,Manufacture Of Furniture,0
4829,Services of households as employers of domestic personnel,Manufacture Of Furniture,0
4830,"Products of agriculture, hunting and related services",Other Manufacturing,0
4831,"Products of forestry, logging and related services",Other Manufacturing,1
4832,Fish and other fishing products; aquaculture products; support services to fishing,Other Manufacturing,0
4833,Coal and lignite,Other Manufacturing,0
4834,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Other Manufacturing,1
4835,Other mining and quarrying products,Other Manufacturing,30
4836,Mining support services,Other Manufacturing,0
4837,Preserved meat and meat products,Other Manufacturing,2
4838,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Other Manufacturing,0
4839,Vegetable and animal oils and fats,Other Manufacturing,0
4840,Dairy products,Other Manufacturing,0
4841,"Grain mill products, starches and starch products",Other Manufacturing,0
4842,Bakery and farinaceous products,Other Manufacturing,0
4843,Other food products,Other Manufacturing,1
4844,Prepared animal feeds,Other Manufacturing,0
4845,Alcoholic beverages  & Tobacco products,Other Manufacturing,0
4846,Soft drinks,Other Manufacturing,0
4847,Textiles,Other Manufacturing,43
4848,Wearing apparel,Other Manufacturing,0
4849,Leather and related products,Other Manufacturing,0
4850,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Other Manufacturing,41
4851,Paper and paper products,Other Manufacturing,167
4852,Printing and recording services,Other Manufacturing,1
4853,Coke and refined petroleum products,Other Manufacturing,34
4854,"Paints, varnishes and similar coatings, printing ink and mastics",Other Manufacturing,21
4855,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Other Manufacturing,1
4856,Other chemical products,Other Manufacturing,24
4857,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Other Manufacturing,4
4858,Petrochemicals - 20.14/16/17/60,Other Manufacturing,87
4859,"Dyestuffs, agro-chemicals - 20.12/20",Other Manufacturing,4
4860,Basic pharmaceutical products and pharmaceutical preparations,Other Manufacturing,111
4861,Rubber and plastic products,Other Manufacturing,282
4862,"Cement, lime, plaster and articles of concrete, cement and plaster",Other Manufacturing,0
4863,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Other Manufacturing,5
4864,Basic iron and steel,Other Manufacturing,64
4865,Other basic metals and casting,Other Manufacturing,297
4866,Weapons and ammunition,Other Manufacturing,1
4867,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Other Manufacturing,185
4868,"Computer, electronic and optical products",Other Manufacturing,41
4869,Electrical equipment,Other Manufacturing,102
4870,Machinery and equipment n.e.c.,Other Manufacturing,181
4871,"Motor vehicles, trailers and semi-trailers",Other Manufacturing,4
4872,Ships and boats,Other Manufacturing,0
4873,Air and spacecraft and related machinery,Other Manufacturing,1
4874,Other transport equipment - 30.2/4/9,Other Manufacturing,0
4875,Furniture,Other Manufacturing,0
4876,Other manufactured goods,Other Manufacturing,132
4877,Repair and maintenance of ships and boats,Other Manufacturing,0
4878,Repair and maintenance of aircraft and spacecraft,Other Manufacturing,0
4879,Rest of repair; Installation - 33.11-14/17/19/20,Other Manufacturing,0
4880,"Electricity, transmission and distribution",Other Manufacturing,0
4881,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Other Manufacturing,0
4882,Natural water; water treatment and supply services,Other Manufacturing,0
4883,Sewerage services; sewage sludge,Other Manufacturing,0
4884,"Waste collection, treatment and disposal services; materials recovery services",Other Manufacturing,4
4885,Remediation services and other waste management services,Other Manufacturing,0
4886,Construction,Other Manufacturing,0
4887,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Other Manufacturing,0
4888,"Wholesale trade services, except of motor vehicles and motorcycles",Other Manufacturing,0
4889,"Retail trade services, except of motor vehicles and motorcycles",Other Manufacturing,0
4890,Rail transport services,Other Manufacturing,0
4891,"Land transport services and transport services via pipelines, excluding rail transport",Other Manufacturing,16
4892,Water transport services,Other Manufacturing,2
4893,Air transport services,Other Manufacturing,5
4894,Warehousing and support services for transportation,Other Manufacturing,0
4895,Postal and courier services,Other Manufacturing,0
4896,Accommodation services,Other Manufacturing,0
4897,Food and beverage serving services,Other Manufacturing,0
4898,Publishing services,Other Manufacturing,6
4899,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Other Manufacturing,0
4900,Telecommunications services,Other Manufacturing,0
4901,"Computer programming, consultancy and related services",Other Manufacturing,18
4902,Information services,Other Manufacturing,3
4903,"Financial services, except insurance and pension funding",Other Manufacturing,1
4904,"Insurance, reinsurance and pension funding services, except compulsory social security",Other Manufacturing,11
4905,Services auxiliary to financial services and insurance services,Other Manufacturing,2
4906,Real estate services on a fee or contract basis,Other Manufacturing,0
4907,Owner-Occupiers' Housing Services,Other Manufacturing,0
4908,"Real estate services, excluding on a fee or contract basis and imputed rent",Other Manufacturing,0
4909,Legal services,Other Manufacturing,3
4910,"Accounting, bookkeeping and auditing services; tax consulting services",Other Manufacturing,1
4911,Services of head offices; management consulting services,Other Manufacturing,27
4912,Architectural and engineering services; technical testing and analysis services,Other Manufacturing,11
4913,Scientific research and development services,Other Manufacturing,0
4914,Advertising and market research services,Other Manufacturing,5
4915,"Other professional, scientific and technical services",Other Manufacturing,1
4916,Veterinary services,Other Manufacturing,0
4917,Rental and leasing services,Other Manufacturing,8
4918,Employment services,Other Manufacturing,2
4919,"Travel agency, tour operator and other reservation services and related services",Other Manufacturing,0
4920,Security and investigation services,Other Manufacturing,0
4921,Services to buildings and landscape,Other Manufacturing,0
4922,"Office administrative, office support and other business support services",Other Manufacturing,4
4923,Public administration and defence services; compulsory social security services,Other Manufacturing,0
4924,Education services,Other Manufacturing,0
4925,Human health services,Other Manufacturing,0
4926,Residential Care  & Social Work Activities,Other Manufacturing,0
4927,"Creative, arts and entertainment services",Other Manufacturing,0
4928,"Libraries, archives, museums and other cultural services",Other Manufacturing,0
4929,Gambling and betting services,Other Manufacturing,0
4930,Sports services and amusement and recreation services,Other Manufacturing,0
4931,Services furnished by membership organisations,Other Manufacturing,0
4932,Repair services of computers and personal and household goods,Other Manufacturing,0
4933,Other personal services,Other Manufacturing,0
4934,Services of households as employers of domestic personnel,Other Manufacturing,0
4935,"Products of agriculture, hunting and related services",Repair and maintenance of ships and boats,0
4936,"Products of forestry, logging and related services",Repair and maintenance of ships and boats,0
4937,Fish and other fishing products; aquaculture products; support services to fishing,Repair and maintenance of ships and boats,0
4938,Coal and lignite,Repair and maintenance of ships and boats,0
4939,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Repair and maintenance of ships and boats,0
4940,Other mining and quarrying products,Repair and maintenance of ships and boats,0
4941,Mining support services,Repair and maintenance of ships and boats,0
4942,Preserved meat and meat products,Repair and maintenance of ships and boats,0
4943,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Repair and maintenance of ships and boats,0
4944,Vegetable and animal oils and fats,Repair and maintenance of ships and boats,0
4945,Dairy products,Repair and maintenance of ships and boats,0
4946,"Grain mill products, starches and starch products",Repair and maintenance of ships and boats,0
4947,Bakery and farinaceous products,Repair and maintenance of ships and boats,0
4948,Other food products,Repair and maintenance of ships and boats,0
4949,Prepared animal feeds,Repair and maintenance of ships and boats,0
4950,Alcoholic beverages  & Tobacco products,Repair and maintenance of ships and boats,0
4951,Soft drinks,Repair and maintenance of ships and boats,0
4952,Textiles,Repair and maintenance of ships and boats,0
4953,Wearing apparel,Repair and maintenance of ships and boats,0
4954,Leather and related products,Repair and maintenance of ships and boats,0
4955,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Repair and maintenance of ships and boats,0
4956,Paper and paper products,Repair and maintenance of ships and boats,0
4957,Printing and recording services,Repair and maintenance of ships and boats,0
4958,Coke and refined petroleum products,Repair and maintenance of ships and boats,0
4959,"Paints, varnishes and similar coatings, printing ink and mastics",Repair and maintenance of ships and boats,0
4960,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Repair and maintenance of ships and boats,0
4961,Other chemical products,Repair and maintenance of ships and boats,1
4962,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Repair and maintenance of ships and boats,0
4963,Petrochemicals - 20.14/16/17/60,Repair and maintenance of ships and boats,4
4964,"Dyestuffs, agro-chemicals - 20.12/20",Repair and maintenance of ships and boats,0
4965,Basic pharmaceutical products and pharmaceutical preparations,Repair and maintenance of ships and boats,0
4966,Rubber and plastic products,Repair and maintenance of ships and boats,7
4967,"Cement, lime, plaster and articles of concrete, cement and plaster",Repair and maintenance of ships and boats,0
4968,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Repair and maintenance of ships and boats,0
4969,Basic iron and steel,Repair and maintenance of ships and boats,0
4970,Other basic metals and casting,Repair and maintenance of ships and boats,0
4971,Weapons and ammunition,Repair and maintenance of ships and boats,2
4972,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Repair and maintenance of ships and boats,2
4973,"Computer, electronic and optical products",Repair and maintenance of ships and boats,0
4974,Electrical equipment,Repair and maintenance of ships and boats,2
4975,Machinery and equipment n.e.c.,Repair and maintenance of ships and boats,2
4976,"Motor vehicles, trailers and semi-trailers",Repair and maintenance of ships and boats,0
4977,Ships and boats,Repair and maintenance of ships and boats,0
4978,Air and spacecraft and related machinery,Repair and maintenance of ships and boats,0
4979,Other transport equipment - 30.2/4/9,Repair and maintenance of ships and boats,0
4980,Furniture,Repair and maintenance of ships and boats,0
4981,Other manufactured goods,Repair and maintenance of ships and boats,0
4982,Repair and maintenance of ships and boats,Repair and maintenance of ships and boats,1
4983,Repair and maintenance of aircraft and spacecraft,Repair and maintenance of ships and boats,0
4984,Rest of repair; Installation - 33.11-14/17/19/20,Repair and maintenance of ships and boats,0
4985,"Electricity, transmission and distribution",Repair and maintenance of ships and boats,0
4986,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Repair and maintenance of ships and boats,0
4987,Natural water; water treatment and supply services,Repair and maintenance of ships and boats,0
4988,Sewerage services; sewage sludge,Repair and maintenance of ships and boats,0
4989,"Waste collection, treatment and disposal services; materials recovery services",Repair and maintenance of ships and boats,0
4990,Remediation services and other waste management services,Repair and maintenance of ships and boats,0
4991,Construction,Repair and maintenance of ships and boats,0
4992,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Repair and maintenance of ships and boats,0
4993,"Wholesale trade services, except of motor vehicles and motorcycles",Repair and maintenance of ships and boats,0
4994,"Retail trade services, except of motor vehicles and motorcycles",Repair and maintenance of ships and boats,0
4995,Rail transport services,Repair and maintenance of ships and boats,0
4996,"Land transport services and transport services via pipelines, excluding rail transport",Repair and maintenance of ships and boats,0
4997,Water transport services,Repair and maintenance of ships and boats,0
4998,Air transport services,Repair and maintenance of ships and boats,0
4999,Warehousing and support services for transportation,Repair and maintenance of ships and boats,0
5000,Postal and courier services,Repair and maintenance of ships and boats,0
5001,Accommodation services,Repair and maintenance of ships and boats,0
5002,Food and beverage serving services,Repair and maintenance of ships and boats,0
5003,Publishing services,Repair and maintenance of ships and boats,0
5004,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Repair and maintenance of ships and boats,0
5005,Telecommunications services,Repair and maintenance of ships and boats,0
5006,"Computer programming, consultancy and related services",Repair and maintenance of ships and boats,0
5007,Information services,Repair and maintenance of ships and boats,0
5008,"Financial services, except insurance and pension funding",Repair and maintenance of ships and boats,0
5009,"Insurance, reinsurance and pension funding services, except compulsory social security",Repair and maintenance of ships and boats,0
5010,Services auxiliary to financial services and insurance services,Repair and maintenance of ships and boats,0
5011,Real estate services on a fee or contract basis,Repair and maintenance of ships and boats,0
5012,Owner-Occupiers' Housing Services,Repair and maintenance of ships and boats,0
5013,"Real estate services, excluding on a fee or contract basis and imputed rent",Repair and maintenance of ships and boats,0
5014,Legal services,Repair and maintenance of ships and boats,0
5015,"Accounting, bookkeeping and auditing services; tax consulting services",Repair and maintenance of ships and boats,0
5016,Services of head offices; management consulting services,Repair and maintenance of ships and boats,0
5017,Architectural and engineering services; technical testing and analysis services,Repair and maintenance of ships and boats,0
5018,Scientific research and development services,Repair and maintenance of ships and boats,0
5019,Advertising and market research services,Repair and maintenance of ships and boats,0
5020,"Other professional, scientific and technical services",Repair and maintenance of ships and boats,0
5021,Veterinary services,Repair and maintenance of ships and boats,0
5022,Rental and leasing services,Repair and maintenance of ships and boats,0
5023,Employment services,Repair and maintenance of ships and boats,0
5024,"Travel agency, tour operator and other reservation services and related services",Repair and maintenance of ships and boats,0
5025,Security and investigation services,Repair and maintenance of ships and boats,0
5026,Services to buildings and landscape,Repair and maintenance of ships and boats,0
5027,"Office administrative, office support and other business support services",Repair and maintenance of ships and boats,0
5028,Public administration and defence services; compulsory social security services,Repair and maintenance of ships and boats,0
5029,Education services,Repair and maintenance of ships and boats,0
5030,Human health services,Repair and maintenance of ships and boats,0
5031,Residential Care  & Social Work Activities,Repair and maintenance of ships and boats,0
5032,"Creative, arts and entertainment services",Repair and maintenance of ships and boats,0
5033,"Libraries, archives, museums and other cultural services",Repair and maintenance of ships and boats,0
5034,Gambling and betting services,Repair and maintenance of ships and boats,0
5035,Sports services and amusement and recreation services,Repair and maintenance of ships and boats,0
5036,Services furnished by membership organisations,Repair and maintenance of ships and boats,0
5037,Repair services of computers and personal and household goods,Repair and maintenance of ships and boats,0
5038,Other personal services,Repair and maintenance of ships and boats,0
5039,Services of households as employers of domestic personnel,Repair and maintenance of ships and boats,0
5040,"Products of agriculture, hunting and related services",Repair and maintenance of aircraft and spacecraft,0
5041,"Products of forestry, logging and related services",Repair and maintenance of aircraft and spacecraft,0
5042,Fish and other fishing products; aquaculture products; support services to fishing,Repair and maintenance of aircraft and spacecraft,0
5043,Coal and lignite,Repair and maintenance of aircraft and spacecraft,0
5044,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Repair and maintenance of aircraft and spacecraft,1
5045,Other mining and quarrying products,Repair and maintenance of aircraft and spacecraft,0
5046,Mining support services,Repair and maintenance of aircraft and spacecraft,0
5047,Preserved meat and meat products,Repair and maintenance of aircraft and spacecraft,0
5048,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Repair and maintenance of aircraft and spacecraft,0
5049,Vegetable and animal oils and fats,Repair and maintenance of aircraft and spacecraft,0
5050,Dairy products,Repair and maintenance of aircraft and spacecraft,0
5051,"Grain mill products, starches and starch products",Repair and maintenance of aircraft and spacecraft,0
5052,Bakery and farinaceous products,Repair and maintenance of aircraft and spacecraft,0
5053,Other food products,Repair and maintenance of aircraft and spacecraft,0
5054,Prepared animal feeds,Repair and maintenance of aircraft and spacecraft,0
5055,Alcoholic beverages  & Tobacco products,Repair and maintenance of aircraft and spacecraft,0
5056,Soft drinks,Repair and maintenance of aircraft and spacecraft,0
5057,Textiles,Repair and maintenance of aircraft and spacecraft,0
5058,Wearing apparel,Repair and maintenance of aircraft and spacecraft,0
5059,Leather and related products,Repair and maintenance of aircraft and spacecraft,0
5060,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Repair and maintenance of aircraft and spacecraft,0
5061,Paper and paper products,Repair and maintenance of aircraft and spacecraft,0
5062,Printing and recording services,Repair and maintenance of aircraft and spacecraft,0
5063,Coke and refined petroleum products,Repair and maintenance of aircraft and spacecraft,0
5064,"Paints, varnishes and similar coatings, printing ink and mastics",Repair and maintenance of aircraft and spacecraft,0
5065,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Repair and maintenance of aircraft and spacecraft,0
5066,Other chemical products,Repair and maintenance of aircraft and spacecraft,0
5067,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Repair and maintenance of aircraft and spacecraft,0
5068,Petrochemicals - 20.14/16/17/60,Repair and maintenance of aircraft and spacecraft,0
5069,"Dyestuffs, agro-chemicals - 20.12/20",Repair and maintenance of aircraft and spacecraft,0
5070,Basic pharmaceutical products and pharmaceutical preparations,Repair and maintenance of aircraft and spacecraft,0
5071,Rubber and plastic products,Repair and maintenance of aircraft and spacecraft,1
5072,"Cement, lime, plaster and articles of concrete, cement and plaster",Repair and maintenance of aircraft and spacecraft,0
5073,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Repair and maintenance of aircraft and spacecraft,0
5074,Basic iron and steel,Repair and maintenance of aircraft and spacecraft,1
5075,Other basic metals and casting,Repair and maintenance of aircraft and spacecraft,10
5076,Weapons and ammunition,Repair and maintenance of aircraft and spacecraft,0
5077,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Repair and maintenance of aircraft and spacecraft,8
5078,"Computer, electronic and optical products",Repair and maintenance of aircraft and spacecraft,1
5079,Electrical equipment,Repair and maintenance of aircraft and spacecraft,7
5080,Machinery and equipment n.e.c.,Repair and maintenance of aircraft and spacecraft,8
5081,"Motor vehicles, trailers and semi-trailers",Repair and maintenance of aircraft and spacecraft,0
5082,Ships and boats,Repair and maintenance of aircraft and spacecraft,0
5083,Air and spacecraft and related machinery,Repair and maintenance of aircraft and spacecraft,47
5084,Other transport equipment - 30.2/4/9,Repair and maintenance of aircraft and spacecraft,1
5085,Furniture,Repair and maintenance of aircraft and spacecraft,0
5086,Other manufactured goods,Repair and maintenance of aircraft and spacecraft,0
5087,Repair and maintenance of ships and boats,Repair and maintenance of aircraft and spacecraft,0
5088,Repair and maintenance of aircraft and spacecraft,Repair and maintenance of aircraft and spacecraft,252
5089,Rest of repair; Installation - 33.11-14/17/19/20,Repair and maintenance of aircraft and spacecraft,1
5090,"Electricity, transmission and distribution",Repair and maintenance of aircraft and spacecraft,0
5091,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Repair and maintenance of aircraft and spacecraft,0
5092,Natural water; water treatment and supply services,Repair and maintenance of aircraft and spacecraft,0
5093,Sewerage services; sewage sludge,Repair and maintenance of aircraft and spacecraft,0
5094,"Waste collection, treatment and disposal services; materials recovery services",Repair and maintenance of aircraft and spacecraft,0
5095,Remediation services and other waste management services,Repair and maintenance of aircraft and spacecraft,0
5096,Construction,Repair and maintenance of aircraft and spacecraft,0
5097,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Repair and maintenance of aircraft and spacecraft,0
5098,"Wholesale trade services, except of motor vehicles and motorcycles",Repair and maintenance of aircraft and spacecraft,0
5099,"Retail trade services, except of motor vehicles and motorcycles",Repair and maintenance of aircraft and spacecraft,0
5100,Rail transport services,Repair and maintenance of aircraft and spacecraft,0
5101,"Land transport services and transport services via pipelines, excluding rail transport",Repair and maintenance of aircraft and spacecraft,4
5102,Water transport services,Repair and maintenance of aircraft and spacecraft,0
5103,Air transport services,Repair and maintenance of aircraft and spacecraft,0
5104,Warehousing and support services for transportation,Repair and maintenance of aircraft and spacecraft,0
5105,Postal and courier services,Repair and maintenance of aircraft and spacecraft,0
5106,Accommodation services,Repair and maintenance of aircraft and spacecraft,0
5107,Food and beverage serving services,Repair and maintenance of aircraft and spacecraft,0
5108,Publishing services,Repair and maintenance of aircraft and spacecraft,0
5109,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Repair and maintenance of aircraft and spacecraft,0
5110,Telecommunications services,Repair and maintenance of aircraft and spacecraft,0
5111,"Computer programming, consultancy and related services",Repair and maintenance of aircraft and spacecraft,0
5112,Information services,Repair and maintenance of aircraft and spacecraft,0
5113,"Financial services, except insurance and pension funding",Repair and maintenance of aircraft and spacecraft,0
5114,"Insurance, reinsurance and pension funding services, except compulsory social security",Repair and maintenance of aircraft and spacecraft,0
5115,Services auxiliary to financial services and insurance services,Repair and maintenance of aircraft and spacecraft,0
5116,Real estate services on a fee or contract basis,Repair and maintenance of aircraft and spacecraft,0
5117,Owner-Occupiers' Housing Services,Repair and maintenance of aircraft and spacecraft,0
5118,"Real estate services, excluding on a fee or contract basis and imputed rent",Repair and maintenance of aircraft and spacecraft,0
5119,Legal services,Repair and maintenance of aircraft and spacecraft,0
5120,"Accounting, bookkeeping and auditing services; tax consulting services",Repair and maintenance of aircraft and spacecraft,0
5121,Services of head offices; management consulting services,Repair and maintenance of aircraft and spacecraft,1
5122,Architectural and engineering services; technical testing and analysis services,Repair and maintenance of aircraft and spacecraft,0
5123,Scientific research and development services,Repair and maintenance of aircraft and spacecraft,0
5124,Advertising and market research services,Repair and maintenance of aircraft and spacecraft,0
5125,"Other professional, scientific and technical services",Repair and maintenance of aircraft and spacecraft,0
5126,Veterinary services,Repair and maintenance of aircraft and spacecraft,0
5127,Rental and leasing services,Repair and maintenance of aircraft and spacecraft,0
5128,Employment services,Repair and maintenance of aircraft and spacecraft,0
5129,"Travel agency, tour operator and other reservation services and related services",Repair and maintenance of aircraft and spacecraft,0
5130,Security and investigation services,Repair and maintenance of aircraft and spacecraft,0
5131,Services to buildings and landscape,Repair and maintenance of aircraft and spacecraft,0
5132,"Office administrative, office support and other business support services",Repair and maintenance of aircraft and spacecraft,0
5133,Public administration and defence services; compulsory social security services,Repair and maintenance of aircraft and spacecraft,0
5134,Education services,Repair and maintenance of aircraft and spacecraft,0
5135,Human health services,Repair and maintenance of aircraft and spacecraft,0
5136,Residential Care  & Social Work Activities,Repair and maintenance of aircraft and spacecraft,0
5137,"Creative, arts and entertainment services",Repair and maintenance of aircraft and spacecraft,0
5138,"Libraries, archives, museums and other cultural services",Repair and maintenance of aircraft and spacecraft,0
5139,Gambling and betting services,Repair and maintenance of aircraft and spacecraft,0
5140,Sports services and amusement and recreation services,Repair and maintenance of aircraft and spacecraft,0
5141,Services furnished by membership organisations,Repair and maintenance of aircraft and spacecraft,0
5142,Repair services of computers and personal and household goods,Repair and maintenance of aircraft and spacecraft,0
5143,Other personal services,Repair and maintenance of aircraft and spacecraft,0
5144,Services of households as employers of domestic personnel,Repair and maintenance of aircraft and spacecraft,0
5145,"Products of agriculture, hunting and related services",Rest of repair; Installation - 33.11-14/17/19/20,0
5146,"Products of forestry, logging and related services",Rest of repair; Installation - 33.11-14/17/19/20,0
5147,Fish and other fishing products; aquaculture products; support services to fishing,Rest of repair; Installation - 33.11-14/17/19/20,0
5148,Coal and lignite,Rest of repair; Installation - 33.11-14/17/19/20,0
5149,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Rest of repair; Installation - 33.11-14/17/19/20,1
5150,Other mining and quarrying products,Rest of repair; Installation - 33.11-14/17/19/20,2
5151,Mining support services,Rest of repair; Installation - 33.11-14/17/19/20,0
5152,Preserved meat and meat products,Rest of repair; Installation - 33.11-14/17/19/20,0
5153,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Rest of repair; Installation - 33.11-14/17/19/20,0
5154,Vegetable and animal oils and fats,Rest of repair; Installation - 33.11-14/17/19/20,0
5155,Dairy products,Rest of repair; Installation - 33.11-14/17/19/20,0
5156,"Grain mill products, starches and starch products",Rest of repair; Installation - 33.11-14/17/19/20,0
5157,Bakery and farinaceous products,Rest of repair; Installation - 33.11-14/17/19/20,0
5158,Other food products,Rest of repair; Installation - 33.11-14/17/19/20,0
5159,Prepared animal feeds,Rest of repair; Installation - 33.11-14/17/19/20,0
5160,Alcoholic beverages  & Tobacco products,Rest of repair; Installation - 33.11-14/17/19/20,0
5161,Soft drinks,Rest of repair; Installation - 33.11-14/17/19/20,0
5162,Textiles,Rest of repair; Installation - 33.11-14/17/19/20,8
5163,Wearing apparel,Rest of repair; Installation - 33.11-14/17/19/20,0
5164,Leather and related products,Rest of repair; Installation - 33.11-14/17/19/20,0
5165,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Rest of repair; Installation - 33.11-14/17/19/20,8
5166,Paper and paper products,Rest of repair; Installation - 33.11-14/17/19/20,9
5167,Printing and recording services,Rest of repair; Installation - 33.11-14/17/19/20,0
5168,Coke and refined petroleum products,Rest of repair; Installation - 33.11-14/17/19/20,2
5169,"Paints, varnishes and similar coatings, printing ink and mastics",Rest of repair; Installation - 33.11-14/17/19/20,13
5170,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Rest of repair; Installation - 33.11-14/17/19/20,0
5171,Other chemical products,Rest of repair; Installation - 33.11-14/17/19/20,54
5172,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Rest of repair; Installation - 33.11-14/17/19/20,6
5173,Petrochemicals - 20.14/16/17/60,Rest of repair; Installation - 33.11-14/17/19/20,18
5174,"Dyestuffs, agro-chemicals - 20.12/20",Rest of repair; Installation - 33.11-14/17/19/20,0
5175,Basic pharmaceutical products and pharmaceutical preparations,Rest of repair; Installation - 33.11-14/17/19/20,7
5176,Rubber and plastic products,Rest of repair; Installation - 33.11-14/17/19/20,75
5177,"Cement, lime, plaster and articles of concrete, cement and plaster",Rest of repair; Installation - 33.11-14/17/19/20,2
5178,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Rest of repair; Installation - 33.11-14/17/19/20,9
5179,Basic iron and steel,Rest of repair; Installation - 33.11-14/17/19/20,234
5180,Other basic metals and casting,Rest of repair; Installation - 33.11-14/17/19/20,98
5181,Weapons and ammunition,Rest of repair; Installation - 33.11-14/17/19/20,112
5182,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Rest of repair; Installation - 33.11-14/17/19/20,263
5183,"Computer, electronic and optical products",Rest of repair; Installation - 33.11-14/17/19/20,287
5184,Electrical equipment,Rest of repair; Installation - 33.11-14/17/19/20,308
5185,Machinery and equipment n.e.c.,Rest of repair; Installation - 33.11-14/17/19/20,488
5186,"Motor vehicles, trailers and semi-trailers",Rest of repair; Installation - 33.11-14/17/19/20,98
5187,Ships and boats,Rest of repair; Installation - 33.11-14/17/19/20,0
5188,Air and spacecraft and related machinery,Rest of repair; Installation - 33.11-14/17/19/20,2
5189,Other transport equipment - 30.2/4/9,Rest of repair; Installation - 33.11-14/17/19/20,334
5190,Furniture,Rest of repair; Installation - 33.11-14/17/19/20,0
5191,Other manufactured goods,Rest of repair; Installation - 33.11-14/17/19/20,9
5192,Repair and maintenance of ships and boats,Rest of repair; Installation - 33.11-14/17/19/20,1
5193,Repair and maintenance of aircraft and spacecraft,Rest of repair; Installation - 33.11-14/17/19/20,0
5194,Rest of repair; Installation - 33.11-14/17/19/20,Rest of repair; Installation - 33.11-14/17/19/20,226
5195,"Electricity, transmission and distribution",Rest of repair; Installation - 33.11-14/17/19/20,0
